rid,question_name
49,我国多地已发现 BQ.1 和 XBB 分支，国家卫健委称「其传播优势会逐渐增加」，这意味着什么？
50,美国版连花清瘟被标记成膳食补充剂。明明在我国是药品，怎么到了美国，却变成了膳食补充剂呢？
51,中疾控介绍去年 12 月至今年 3 月 23 日发现本土重点关注变异株 120 例，哪些信息值得关注？
52,台湾为什么迄今没有获得疫苗？
53,你是否赞成恢复一部分防疫措施?
54,作为防疫人员，真的很讨厌看别人给自己表演节目吗？
55,4 月 6 日上海新增本土确诊病例 322 例、无症状感染者 19660 例，目前情况如何？
56,有哪些证据可以推测新冠病毒是美国的生物战？只是它们没控制好坑了自己？
57,上海一男子因在公交车内饮食长时间未规范佩戴口罩，因为被确诊致同车人员被隔离。起到哪些警示作用？
58,当地时间 28 日，著名钢琴家傅聪在英国感染新冠病毒去世，你对他有哪些记忆？
59,在瑞典记者要求评价该国疫情时，中国驻瑞典大使回应「不会对瑞典内部事务指手画脚」，你怎么看？
60,西安一女子集中隔离期间「哭诉无卫生巾」，西安作协主席批评「矫情、小姐做派」，这个批评合理吗？
61,丈夫确诊阳性，为不连累家人独自到山里隔离，妻子不离不弃走 40 分钟山路送饭，如何看待此事件？
62,医护人员阳性应不应该休息？
63,香港的疫情和武汉当年相比，规模相当么?
64,为什么对上海疫情下的「小资情调」感到反感？
65,陕西省委书记要求医院能开尽开，第一时间救治透析患者、孕产妇，这对救治特殊人群有哪些帮助？
66,如何看待印度政府预测，该国这一波新冠疫情可能于 5 月中旬达到峰值？会对全球疫情带来哪些影响？
67,6 岁男孩用一套「奥特曼卡片」为妈妈换回 3 瓶退烧药，如何看待此事件？
68,如何看待台湾疫情暴发之际，台湾当局却称「等大陆申请就可讨论疫苗入台」？
69,国内科研团队实验验证「奥密克戎致病力已大幅降低」，如何看待这一结果以及后续影响？
70,美媒用美国等地的死亡率，声称推算出「中国新冠死亡病例有170万」，这种算法的漏洞有哪些？
71,上海六院删除《新冠疫情笼罩下的「丁丁保卫战」》一文，宣传救治隔离期外籍患者遭质疑，问题主要出在哪？
72,京东回应「自杀式物流」支援上海，称已有约 3000 名快递小哥前仆后继，将对上海防疫工作带来哪些帮助？
73,台湾开打阿斯利康疫苗 2 天出现 13 人猝死，台防疫部门称「还是建议打」，对台湾疫情会有哪些影响？
74,如何看待重庆市中医院不等核酸结果抢救黄码老人？该新闻是一个不值得报道的好消息吗？
75,如何看待哈工大「妈妈式」学生返乡政策，其他学校可否借鉴？
76,如何看待美国运送新冠尸体的卡车清洁消毒后可运送食品，美国食品药品监管局（FDA）称没必要征求公众意见？
77,如何看待外交部宣布将暂停中英间往返航班？
78,如何看待新冠「拉姆达」变异毒株或可逃避中和抗体？人类想要战胜疫情该怎样努力？
79,丹东父女黄码看病被拦后袭警，警方通报「女子被拘十日，其父被采取强制措施」，如何看待这一事件？
80,上海副市长宗明哽咽感谢市民和一线防疫人员，称「尽全力改进不足」，本轮防控的难点是什么？有哪些建议？
81,如何解读美国《Science》杂志最新论文，通过感染奥密克戎，不会得到免疫力，反而是削弱?
82,胡锡进发文阳了，称「做这样的一份子，我觉得很踏实」，如何看待此言论？
83,为什么印度疫情反应比美国大？
84,如何看待陈奕迅称一年没有开工，卡里只有几千万了，自己真的有点慌了？
85,如何看待 5 天内，出现在大连的疫情已致 4 省 8 市 79 人感染，情况怎么样了？
86,成都 20 岁确诊女孩发声致歉「负责酒吧气氛和营销，当时不知道奶奶确诊」，网络暴力「狂欢」该如何整顿？
87,如何看待郑州官方发声「对此次疫情中暴露出的问题，深感不安并深表歉意」？
88,如何看待画师乌合麒麟为纪念武汉抗疫的新作《披甲》？武汉抗疫有哪些难忘的瞬间？
89,目前已经阳了的人都有什么感触？
90,日本地方政府错将4630万日元疫情补贴转给一户人家，对方称钱花完了，如何看待此事？
91,京东物流通过「自杀式物流」方式向上海运送物资，如何评价这一行为？
92,上海引入数字无人机「精准定位」未扫场所码人员，如何评价这一做法？
93,如何评价吴尊友在财经年会上关于“如何迈过黎明前的黑暗，今冬新冠疫情形势分析”的发言？
94,如何看待网传「上海外国人优待由方舱转入瑞金医院」被辟谣，此外籍人员常年患病且所在医院并非瑞金?
95,广州通报称没有「静默」的安排，更没有「封城」的计划，这意味着什么？
96,如何看待麦德龙上海普陀商场暂停营业，原因是「因持证人员大增」？还有哪些信息值得关注？
97,网传西安网友父亲心肌绞痛 8 小时，因医院停止接诊无法救治已去世，屡次发生这种情况反映了什么问题？
98,博主自曝因曾感染新冠被开除，称「希望包容新冠康复者」，具体情况如何？若属实，公司做法是否违法劳动法？
99,印度新冠疫情每天死亡人数最高时约为两千多人，为什么会造成火葬场不够用呢？
100,网友根据自身感受给毒株取名「刀片株」「炫饭株」等，挑个「温和的毒株」产生抗体可行吗？
101,8 月 27 日美国情报机构出炉「新冠病毒溯源报告」，指责中国阻挠国际调查，如何看待这一份报告？
102,如何看待沈阳「一号病例」尹老太去世，其子：「人走了责骂没停」？
103,新华制药布洛芬产能8000吨，够33亿人用。为什么我还买不到？
104,网红博主「刘墉干净又卫生」在印度得新冠肺炎 8 天后转好，新冠肺炎转好后是什么感受？
105,核酸停止后短时间全国新冠就爆发如此迅猛，是否说明过去的核酸检测其实非常有效？
106,5 位新冠感染康复者讲述「阳」了之后经历了什么，他们的经历给你带来了哪些感受或经验？
107,为什么白宫核酸一天一检，却对美国人说不用担心新冠？
108,专家称一两个月内会出现大规模疫情冲击，元旦春节将使疫情形势达到高峰，该如何应对做好防护？
109,如何看待8月7日美国疫情确诊人数突破500万？
110,4 月 19 日上海新增本土「 2494+16407 」，死亡病例 7 例，目前情况如何？
111,如何评价上海浦锦街道社区与医务人员发生争执，发生汹涌舆情后，街道办“致歉”?
112,你怎么看生活在沈阳的尹老太太？
113,为什么最近对张文宏医生的评价褒贬不一？
114,为什么香港疫情这么严重，新加坡好像没事一样？
115,将担心老人孩子感染新冠的人称为“老孩侠”体现了某些人的什么心理？
116,如何看待广州能做到14天摘星？
117,上海严查「大礼包」腐败并处理多人，目前已核查线索百余条，有哪些信息值得关注？
118,新冠有什么后遗症？
119,如何看待美国传染病专家已注射两针辉瑞疫苗，却在印度感染新冠去世？在印度新冠疫苗已经不起作用了吗？
120,如何看待美国政府支持放弃新冠疫苗知识产权专利，其目的是什么？会产生哪些影响？
121,4 月 13 日上海新增本土确诊病例 2573 例、无症状感染者 25146 例，目前情况如何？
122,闺蜜想约我暑假两女生自驾游西藏？可行吗？
123,如何评价西安各部门应对这次疫情的表现？
124,胡锡进称「在这个困难的时候，恳请大家保持清醒」，如何看待此言论？
125,如何看待真相工程对辉瑞战略总监乔丹·沃克的卧底套话?
126,网传新冠感染者康复后短期内因剧烈运动入院或离世，阳康后多久才能运动? 应该如何科学、有效地运动？
127,世卫组织表示，还没到宣布新冠大流行紧急阶段结束的时候，这透露出了哪些信息？
128,4 月 19 日上海卫健委主任邬惊雷被诊断为血管性头痛，目前已住院接受治疗，还有哪些信息值得关注？
129,工信部表示即日起通信行程卡取消星号标记，此举对统筹防疫和经济社会发展有何影响？摘星后的行程卡还有用吗？
130,如何看待德国科学家称：全球99.5%感染源自意北部新冠变体，而非武汉？
131,4 月 4 日上海新增本土确诊病例 268 例、无症状感染者 13086 例，目前情况如何？
132,4 月 29 日，浙江新增确诊病例 11 例，其中印度输入 10 例，是否会对中国疫情防控产生影响？
133,因禄口机场疫情防控不力，南京市卫健委主任被免职，副市长被记过处分，还有哪些信息值得关注？
134,如何看待华山医院张文宏疑似发烧了？
135,如何看待日本冲绳21家医院联名发出血色医疗瘫痪信息，因新冠感染扩大，医疗系统已达到灾害级别？
136,甘肃瓜州县卫健局长石金龙在疫情防控中因公殉职，英年 51 岁，他的哪些精神值得我们铭记？
137,香港 2 月 26 日通报新增确诊 17063 例，过去 24 小时 66 人因病去世，情况如何？
138,如何看待全球新冠确诊超 1.5 亿，印度单日新增确诊连续 9 天超 30 万例，未来国际疫情形势如何？
139,如何看待日本请求中国请不要对日本人检测肛拭子，因部分人员接受肛拭子检测后「造成了很大的精神痛苦」？
140,如何看待美国政客因不懂中文，将武汉病毒所的安保和装空调费用误认作「大笔可疑资金」？
141,网传用橘子汁做抗原检测出现假阳性，抗原检测前不要吃橘子，这种说法科学吗？
142,网传辽宁捐赠上海的物资被扔垃圾桶，官方回应是误解，具体情况如何？
143,专家提示「新冠阳性后，无基础疾病、症状微轻的中青年人不建议自行服药，等待自愈即可」，哪些信息值得关注？
144,如何看待 29 省市倡导 2021 年春节外地人员「就地过年」？
145,警方回应长春女子煽动敲盆被拘，起到什么警示作用？
146,张文宏称疫情正进入「最后一程」，现阶段需全社会动员保护老年人与脆弱人群，哪些重点需注意？
147,如何看待苏州无锡一高速每隔百米安排志愿者站岗，知情人称「防止上海来的半路下车」？
148,怎么看待商务部发文称：鼓励家庭根据需要储存一定数量的生活必需品，满足日常生活和突发情况需要？
149,12 月 7 日起购票乘车及进出站停止查验 48 小时核酸证明和健康码，这会带来哪些影响？
150,西安上千人因 9 位石家庄密接者被集中隔离，自费 4466 元（1月6日已免费）合理吗？
151,如何看待日本《近日有新冠阳性急症患者求助上百家医院均被拒收最终在家死亡》登上日本热搜第一？
152,如何看待上海临时解封后群众第一件事买咖啡上热搜这件事？
153,3 月 25 日上海新增本土确诊病例 38 例，本土无症状感染者 2231 例，目前防疫情况如何？
154,如何看待美国 CNN 因提到中国疫苗接种数据，被指责「为中国共产党做宣传」？
155,如何看待东方卫视抗疫特别晚会暂缓播出？
156,核酸采样机器人在上海问世，现场体验「捅嗓子」规范又轻柔，将对疫情防控工作带来哪些帮助？
157,上海从 5 月 16 日起分阶段推进复商复市，当前阶段复工有哪些事项需要注意？
158,数学题：屋子里有15个人，一共23道杠，请问几人阴几人阳？
159,越南连日新增破万，胡志明市封城军队进驻，现状如何了？
160,如果有一个与张文宏医生共进晚餐的机会，你愿意花多少钱买下这个机会？
161,如何看待丁香医生发文「不要吃连花清瘟预防新冠」？
162,韩国将开启与新冠共存模式，回归正常生活秩序，怎么看待这一举措？韩国疫情未来走向如何？
163,如何看待微软给员工加薪以应对通货膨胀？
164,如何看待 11 月 21 日美国单日新增新冠确诊超 21 万例，美媒称政府基本上已向疫情投降？
165,7 月 28 日，南京本轮疫情已有确诊 153 例、无症状 2 例，还有哪些信息值得关注？
166,买不到药怎么办？年轻人阳性了可以不吃药吗？？
167,入境航班熔断机制取消，核酸证明调整为登机前 48 小时，将产生哪些影响？还有哪些信息值得关注？
168,4 月 20 日上海新增本土「 2634+15861 」，死亡病例 8 例，目前情况如何？
169,目前疫情形势放开，出行游玩，聚餐，就业等都不要求核酸，你会立即恢复疫情前吃喝玩乐的状态吗？
170,如何评价钟南山推荐连花清瘟胶囊？
171,如何看待印度疫情催生黑市新品：一瓶氧气要 600 美元，顶当地人半年工资？此次疫情失控会影响到中国吗？
172,3 月 26 日上海新增本土确诊病例 45 例、无症状感染者 2631 例，目前情况如何？
173,4 月 24 日上海新增确诊 2472 例、无症状16983 例、死亡 51 例，目前当地情况如何？
174,如何看待美第一夫人吉尔·拜登新冠检测再次呈阳性？为何会时隔 3 天复阳？
175,上海网信办联合公安部门连续查处多起涉疫谣言，这起到了什么警示作用？
176,西安作为一个大城市，为何会在这次防疫中出现这么多漏洞？
177,河南官方发布信息称：河南新冠感染率近九成。而之前吴尊友预测今冬的感染率上限为30%，如何看待这一数据？
178,日本加强从中国入境的防疫措施，入境检测核酸阳性者需 7 天隔离，该政策是否适用其他国家地区？如何评价？
179,如何看待日本8月23日新冠第七波死亡人数超过德尔塔和Ba.1、Ba.2？
180,网传武警将接管上海社区，官方回应「假的」，面对谣言我们该如何判断？
181,1月20日特朗普正式卸任，如何评价他的四年总统生涯，其治下的美国有哪些变化？
182,如何看待部分B站网友对Paxlovid的抵制？
183,美新冠确诊病例超 918 万例，平均单日新增病例近 8 万，目前情况怎么样？当地人的处境如何？
184,美国一季度经济环比折年率萎缩1.4个百分点，躺平后经济并没有起飞，怎么解释?
185,张文宏建议老人这一个月不去跳广场舞、搓麻将，子女看望老人要戴N95口罩，为什么这一个月如此重要？
186,4 月 7 日上海新增本土确诊病例 824 例、无症状感染者 20398 例，目前情况如何？
187,接种疫苗后台湾 62 人猝死，在台日本人称感受到了「愤怒」的迹象，这将对台湾防疫造成何种影响？
188,珠海一街道举报未做核酸者奖励 100 元，此举能起到哪些作用？
189,大连一自称教师女子发表言论称「希望大连疫情越多越好」，目前已被依法行拘，如何评价这一事件？
190,住在方舱医院是一种怎样的体验？
191,钟南山称越「晚阳」，症状或越轻，如何看待此言论？个人应如何做好防护？还有哪些信息值得关注？
192,国家卫健委将新型冠状病毒肺炎更名为新型冠状病毒感染，实施「乙类乙管」，这意味着什么？哪些信息值得关注？
193,丹麦承认因新冠疫情已经错杀 880 万只貂，首相认错部长辞职，为什么能有这么大的乌龙？
194,如何评价美国副总统彭斯言论：「新增确诊中一半是年轻人，这消息真振奋人心」？
195,贵阳三名干部因三荔高速重大交通事故被组织处理，这起到了哪些警示作用？
196,上海市政府表示「向全体市民由衷感谢，并诚恳接受大家批评」，后续防控有哪些方向需要关注？
197,印度男子杀害感染新冠妻子后跳楼自尽，大环境下普通人的生活有多无力？
198,深圳和上海同为一线大都市，为什么面对疫情的进展和结果却相差悬殊？
199,如何看待教育部回应「教职工自由进出校，学生受限」，称教师也要按照「非必要不外出」的原则？
200,上海市控中心回应「一人阳性全楼集中隔离」，称「科学判定不搞一刀切」，对此你有哪些看法？
201,如何看待上海老人方舱返回后被小区拒入街头流落 3 天？目前老人已回家，还有哪些信息值得关注？
202,如何看待西安盒马存在不规范行为，被西安市场监管局立案查处?
203,深圳 10 区发布通告，所有餐厅、饭店等餐饮场所限流 50% 开放，当地疫情情况如何？
204,北京天堂超市酒吧聚集性疫情已有 69 人感染，涉 15 个区，疫情防控措施未来可能会作出哪些调整？
205,4 月 5 日上海新增本土确诊病例 311 例、无症状感染者 16766 例，目前情况如何？
206,如何看待石家庄藁城区通报一老人执意外出被绑树上谩骂：涉事干部已停职，还有哪些值得关注的信息？
207,广州面临抗疫三年以来最复杂、最严峻的疫情，将开设临时医疗点 24 小时轮值，这意味着什么？
208,6 月起上海全面恢复正常生产生活，目前上海疫情形势如何？
209,上海浦东菜农称，「网上不少封控市民吃不到菜，我们这很多菜烂掉运不出去」，该如何解决新鲜蔬菜运输问题？
210,英国疫情如此严重，为什么在英国的人还是岁月静好的样子？
211,印度疫情真如网图上那么严重吗？
212,如何看待部分港媒使用摆拍照片，称给隔离居民发放罐头无法打开？
213,如何看待胡锡进称「对放开封控是『大溃败』 的说法，我完全不敢苟同」？各地疫情状况如何？
214,媒体称「健康码全国互认不能再等了」，目前推进健康码全国互认还存在哪些问题？该怎样合理解决？
215,上海将进一步查处网络圈群造谣行为，此举起到了哪些警示作用？网络造谣问题会得到哪些改善？
216,北京朝阳 6 月 9 日下午起暂停娱乐场所营业，哪些信息值得关注？
217,上海疫情那么重，张文宏医生怎么不出来说话？
218,河南周口郸城返乡先隔离再拘留？县长称自己说的是「恶意返乡」，什么是恶意返乡？这样的判定合理吗？
219,东北制药回应「平价销售退烧药 1 板 2 元」，称「正加班加点生产」，哪些信息值得关注？
220,河南援沪「漂流哥」因上海疫情防控原因返乡，父老乡亲在高速路口拉横幅迎接。如何看待「漂流哥」援沪事件？
221,如何看待「通信行程卡」将于 2022 年 12 月 13 日正式下线？这将产生怎样的影响？
222,如何看待英国部分新冠患者出现嗅觉倒错，莫名闻到强烈气味？
223,如何看待英国出现新冠病毒变异，被美媒嘲讽为「全球贱民」？
224,如何看待有港媒抵制「香港方舱医院」一词，称会让人误以为医院是内地援建的？
225,中国侨联一副处长被免，其微信公众号「清风明月楼」曾发涉西安谣言，如何看待这一处罚？
226,网传「检测机构暂停新冠核酸样本接收」，许昌市财政局回应称「正开会研究此事」，具体情况如何？
227,如何看待大量市民开始疯狂囤蒙脱石散？
228,如何看待美国议员建议「扣下美国对华债务还款」，作为「惩罚中国防疫不力」的手段？
229,网友称学院医学生正前往莆田仙游支援，如何看待这句「但如若需要绝不推脱」？医学生在疫情中是怎样的存在？
230,上海解封是不是太突然了？
231,如何看待上海一家中柯基因无狗粮喂食放养后被当街打死，居委回应「柯基主人为阳性，考虑不周会给予赔偿」？
232,如何看待《柳叶刀》发文：八分之一新冠感染者出现长期症状？
233,今年新冠肺炎死亡人数达 100 万，世卫新冠主管表示「这不叫与病毒共存」，有哪些信息值得关注？
234,南非发现新冠病毒新毒株「存在大量突变，或躲避人体防御」，具体情况如何？人类应当如何防御？
235,如何看待美国《时代周刊》发布最新封面称「 2020 是最糟糕的一年」？
236,如何看待美国被曝要求终止对本国早期新冠病例的科学研究，认为「此举对美国不利」？
237,四月份我在上海得了新冠，七天后出舱了，几个月过去了，我明明已经好了这么久了，可是为什么还要歧视我？
238,成都市商务局声明：成都全市餐饮外卖停业消息不实。有什么值得关注的？
239,如何看待 3 月 12 日全国新增本土确诊 1807 + 无症状 1315？这波疫情为什么这么严重？
240,此次成都疫情事件中的“孙女”应该被同情吗？
241,如何看待上海辟谣平台称「政府发放的保供物资，表面上『免费』，但绝不能『免责』」？
242,如何看待网传顺丰同城骑士单日收入过万，官方回应称「含用户打赏约 7856 元 」？
243,疫情防控放开后，飞机的安全性会不会降低？
244,全国抗击新冠肺炎疫情表彰大会今日举行，国家勋章和国家荣誉称号分量有多重？
245,上海本轮监测到 30 个奥密克戎亚型毒株，包括美国主要毒株 XBB.1.5，会二次感染吗？该如何应对？
246,印度因为新冠肺炎目前都死了52万左右了，怎么这个国家都没有乱？
247,如何看待男子谎称外出买菜实为做工被行拘?
248,上海一群租房 100 平住 30 人，一半人感染新冠，起到什么警示作用？群租房该如何防范疫情传播？
249,一男子在上海初筛阳性仍坐动车回莆田，被采取刑事强制措施，他可能承担哪些法律责任？
250,专家称咬牙挺过可能出现的感染高峰，「社会生活将归于正常 」，有什么信息值得关注？
251,在国内，是不是没有比马督工和财新网更值得看的媒体了？
252,无锡一社区就要求「转绿码人员做完核酸要在手上盖章并保持三天」致歉，做好疫情防控有哪些切实可行的手段？
253,如何看待在核酸检测现场为防疫人员跳舞的行为？你支持吗？
254,如何看待美国不满世卫新冠溯源报告，要求与 13 国专家到中国进行不受限制的第二轮调查？
255,如何看待美媒称新冠疫苗投入接种是「诺曼底时刻」，认为这是战胜疫情的重要节点？
256,如何看待4.14号某男子瞒着7个月孕期的老婆，半夜偷摸报名志愿者这件事？
257,如何看待美国竟敢在这时候宣布打开国门，全球防疫迎重大转折？
258,日本近一个月新冠死亡人数飙升，已超新冠总死亡人数的 1/6，「疫情爆发以来未出现过」，目前情况如何？
259,4 月 22 日上海新增本土「 2736+20634 」，死亡病例 12 例，目前情况如何？
260,外卖员 27 公里送菜，下单女顾客疑因网暴跳楼，警方称「人已经不在了」，我们该如何避免此事件的发生？
261,8 月 3 日晚间，商丘市民权县发出「全域人员赋码管理通知」，决定对全域人员赋红黄码，具体情况如何？
262,BOSS 直聘放假全员信曝光：全员留在工作地过年，这一规定合理合法吗？
263,石家庄地区连花清瘟胶囊「卖爆」，药店一度断货，目前情况如何？
264,如何看待张家界一剧场所有观众均属高风险人群，涉及约 2000 人，座位无间隔？这会产生什么后果?
265,如何看待张文宏表示「新冠病毒变异逐渐进入稳定期」？如何从生物学角度解读？
266,如何看待美国新冠确诊病例日增超过 20 万人，8 月 20 日达到历史新高 319456 人？
267,如何看待美国取消全球旅行警告？
268,如果完成接种新冠疫苗后的COVID-19病死率降低到流感水平，还需要严防死守吗?
269,美媒称「美军兵源告急，健康、无犯罪前科的适合参军人数比例仅 1/4 」，反映了哪些问题？
270,云南瑞丽否认长期封城，有民众称生活难离瑞更难，目前瑞丽真实情况如何？
271,如何看待天津儿童医院前小儿布洛芬颗粒被炒到2500到3000元一盒？
272,12 月 20 日西安一码通崩溃，西安建议市民非必要不展码、亮码，一码通故障的影响有多大？
273,印度疫情的严重性是否被高估了？
274,10 月 2 日特朗普确诊新冠，后续辩论还能不能进行？美国总统若无法履职，权力会如何交接？
275,河南一女大学生返乡隔离，被安排到废弃 20 年小院就地搭铺，如何看待此事？
276,上海市委市政府致信全体市民，呼吁共同守护城市，目前当地疫情情况如何？
277,前两年疫情爆发时上海防控挺好的，今年为什么突然这么严重呢？
278,日本 14 家医院发鲜红色警告称疫情已达「灾难级别」，医疗体制正陷入崩溃，有哪些问题值得关注？
279,如何看待媒体发布文章《我们为什么能够成功》？你从哪些方面感受到了中国越来越强大？
280,美国赴华航班面临全面熔断风险，对留学生和其他回国过年的人有什么影响？
281,新冠预测者曹云龙称「国内每年或现多个感染高峰」，未来还可以在哪些方面进行预防？
282,4 月 21 日上海新增本土「 1931+15698 」，死亡病例 11 例，目前情况如何？
283,如何看待部分台湾人入境福建不需要隔离？
284,广东省公安厅副厅长黄守应等 6 人被免职，还有哪些信息值得关注？
285,美国一反口罩运动领导者死于新冠，年仅 30 岁，曾创建组织对抗新冠限制措施，哪些信息值得关注？
286,德媒将瑞典群体免疫失败造成死亡病例激增称为「小过失」，你怎么看？
287,国务院联防联控机制发布会表示「二十条」不是放松防控，更不是放开、「躺平」，还有哪些信息值得关注？
288,如何评价某媒体表示「居家办公不是放假，更不能放飞自我」「不能放羊、摸鱼」？
289,如何看待德媒DW报道，德国疫情爆发，约半数医院手术推迟、停止急诊？
290,为什么深圳和上海都有新增病例，但是上海大部分是无症状？
291,沈阳一对父子核酸检测点插队被拒，殴打防疫民警被刑拘，他们将面临哪些法律责任？
292,如何看待美国高调宣布援助特立尼达和多巴哥80瓶新冠疫苗？
293,演员石原里美感染新冠，无感染症状，会产生什么影响？
294,河南一高中生放假回家遇防疫卡点被拦截，母女俩大雪中冻一夜，给防疫工作带来哪些警示？
295,国务院表示要足量发放使用全国统一通行证，核酸检测结果 48 小时内全国互认，此举具有哪些积极意义？
296,小儿退烧药美林卖到 2500 元，布洛芬为何一药难求？有什么解决办法缓解困境？
297,6月13日31省区市新增确诊57例，包括广东境外输入17例，意味着什么？
298,为什么XBB.1.5 毒株还没在中国内地传播开来？
299,中疾控表示「春节期间疫情未明显反弹，我国本轮疫情已近尾声」，哪些信息值得关注？
300,曾光称 80%-90% 的人群自然感染后已获得天然免疫，中国的免疫屏障已基本建立，如何看待这一说法？
301,专家称「华南海鲜市场环境样品中分离出的病毒应该是来源于人类」，这意味着什么？
302,国家医保局称不会再就 Paxlovid 举行专门谈判，此前谈判中给出了很大诚意，哪些信息可关注？
303,新冠病毒感染率呈下降趋势，如何看待专家称「形成群体免疫，病毒有点『传』不动了」？新冠病毒会逐渐消失吗？
304,中疾控通报国内首次检出 XBB.1.5 ，该变异株是否会大流行？还有哪些信息值得关注？
305,为何第二轮感染高峰预测或在 3-5 月到来？其中哪类人群在未来可能受影响较大？应怎样注意防护？
306,FBI 宣称武汉实验室泄漏最有可能致新冠病毒蔓延，外交部驳斥，哪些细节值得关注？
307,如何看待韩驻华使馆称「望韩中涉疫矛盾尽快化解」？
308,新冠病毒尚未消失，但疫情的「冬天」快要过去，家里的布洛芬连花清瘟该何去何从？
309,梁万年表示「我国本轮疫情已经基本结束，感染零星局部散发」，如何看待这一说法？依据是什么？
310,多地学校因新冠、甲流等停课，如何看待专家称「稳妥做法不必慌」？这意味着新一波流行感染的开始吗？
311,以岭药业连花清瘟售价「跳水」，市值两月蒸发 411 亿，吴以岭身家缩水超百亿，该公司发展前景如何？
312,一个癌症病人遭遇新冠后竟发现病情在逐渐好转，这是什么原因？高烧真的可以杀死癌细胞吗？
313,过完一个年，好像新冠消失了，是什么原因？
314,甲流单日搜索量近七万，奥司他韦被抢断货，如何科学地对待此类流感？「甲流」与「新冠」感染的区别是什么？
315,国内第二次感染高峰会很严重吗？预计什么时候到？
316,张文宏知道自己现在网络上有很多批评他的人吗？
317,吴尊友称「新冠病毒将会与人类长期共存，但再现大规模流行的可能性较小」，接下来人们该如何防护？
318,吴尊友就「口罩还要戴多久，什么场合要坚持戴，什么场合可以不戴」等问题发文，哪些信息值得关注？
319,新冠病毒感染治疗药物先诺欣、民得维获批上市，用于治疗轻中度新冠感染的成年患者，哪些信息值得关注？
320,中疾控称 1 月 13 日至 19 日在院新冠死亡病例 12658 例，你会关注这个数据吗？
321,湖南疾控发布消息「2 月 7 日起开展新冠病毒抗体检测服务」，检测的目的是什么？哪些信息值得关注？
322,如何看待辉瑞公司研发部主管承认辉瑞公司正在制造新冠变异病毒？
323,吴尊友表示，近几个月再出现新一波新冠疫情可能性比较小，如何解读该言论？
324,国内多地发布提醒要警惕疟疾，其症状和新冠相似，或危及生命，两种疾病的区别是什么？它们之间有关联吗?
